BANC,FAFB,MCNS
720575941624139722,720575940612734515,163107
720575941475266353,720575940643221284,529986
720575941516941740,720575940622160705,67968
720575941408220463,720575940623432918,10611
720575941632467104,720575940628185088,22918
720575941508468574,720575940644053796,519951
720575941480722050,720575940626218383,531350
720575941626178715,720575940628642576,10562
720575941611529389,720575940634828462,536469
720575941564620544,720575940609643017,528998
720575941486808070,720575940629413962,10654
720575941690737304,720575940636479668,10026
720575941521357751,720575940633573836,800373
720575941445196970,720575940623475324,906407
720575941508540706,720575940619524555,20143
720575941504766770,720575940604843436,22883
720575941450761294,720575940629249783,809071
720575941652817905,720575940629541164,810101
720575941543084317,720575940621925631,15664
720575941453474473,720575940621522624,812837
720575941439834709,720575940635510639,520388
720575941429418671,720575940621166625,39555
720575941625402476,720575940638917027,912307
720575941564835991,720575940635179359,10729
720575941595623975,720575940628641127,199331
720575941490928585,720575940625689109,815447
720575941554283521,720575940620988276,517193
720575941579012341,720575940618822429,15189
720575941548324488,720575940621902301,803869
720575941611983334,720575940621819630,10236
720575941510841360,720575940631306041,809496
720575941427315028,720575940626591875,815924
720575941578052177,720575940630607738,803575
720575941573794717,720575940628713987,43598
720575941561868544,720575940619475536,50183
720575941451350138,720575940623857300,24593
720575941526916354,720575940621400084,136729
720575941483943421,720575940610734449,11609
720575941445171370,720575940632715437,800347
720575941527544708,720575940614785090,111774
720575941416783900,720575940624791700,16393
720575941414558353,720575940620533809,46094
720575941393064598,720575940622757247,801974
720575941497405257,720575940628653199,513034
720575941463969805,720575940609600523,817288
720575941576314550,720575940616957585,124940
720575941567831854,720575940617437697,512106
720575941560216079,720575940628135440,912364
720575941568570618,720575940636762479,803799
720575941555394049,720575940609430904,802270
720575941509878226,720575940618077899,121183
720575941476929566,720575940616605441,11825
720575941565396066,720575940629866283,801310
720575941595446309,720575940631913005,815122
720575941553322011,720575940636625400,811950
720575941524559947,720575940628396090,28414
720575941639404405,720575940629357676,520604
720575941574656520,720575940617796642,12360
720575941643315538,720575940626071054,20508
720575941723523898,720575940623299111,16935
720575941549794365,720575940621515852,812855
720575941547239860,720575940629521487,817347
720575941454969395,720575940609722436,914505
720575941437005279,720575940626112062,12426
720575941573658184,720575940609522382,813746
720575941645342369,720575940612708374,817504
720575941574335592,720575940617648245,931656
720575941477935156,720575940636880959,803544
720575941577669365,720575940617654341,59426
720575941574129928,720575940616334386,800775
720575941481194947,720575940659087489,41184
720575941574560669,720575940631521644,109174
720575941614512147,720575940636035173,21581
720575941492641712,720575940632776808,12568
720575941575832424,720575940626217244,923228
720575941595499377,720575940659916417,30755
720575941486265862,720575940612307554,810185
720575941448186644,720575940617653277,805459
720575941595307559,720575940609602936,25055
720575941551665214,720575940632310940,513812
720575941459023088,720575940627116699,18110
720575941550104353,720575940632043576,912203
720575941585922694,720575940611293554,16390
720575941499590818,720575940634961070,42081
720575941491395790,720575940631082808,50732
720575941483861690,720575940626730883,192515
720575941467131670,720575940619009195,49350
720575941443236522,720575940625518736,27968
720575941575691624,720575940629106731,64558
720575941631387845,720575940621792147,112970
720575941432468183,720575940605729964,55371
720575941593123365,720575940613902386,265275
720575941687955468,720575940619845169,26879
720575941691009688,720575940628889047,36377
720575941574952969,720575940623881480,804894
720575941414271636,720575940621324833,107609
720575941489583052,720575940611381221,907853
720575941631253218,720575940643498548,13099
720575941612501523,720575940629416044,810434
